code,ri,suggested_debounce_seconds,event_count,sample_bracket,friendly_name
999,1,1.44,389,#005544|Nri1UX17^C. P.CUCINA     CASA            ^,
999,2,1.44,72,#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^,
999,0,1.44,4,#005544|Nri0RP1^SL 1610030200083432^,
