timestamp,account,code,line,receiver,ri,raw_message,bracket_content
2025-10-01T07:35:00.764270,005544,999,L0,R0,1,"C537005E""SIA-DCS""6925L0#005544[#005544|Nri1UX16^C. P.SALA       CASA            ^]_07:35:22,10-01-2025",#005544|Nri1UX16^C. P.SALA       CASA            ^
2025-10-01T07:35:01.719307,005544,999,L0,R0,1,"C537005E""SIA-DCS""6925L0#005544[#005544|Nri1UX16^C. P.SALA       CASA            ^]_07:35:22,10-01-2025",#005544|Nri1UX16^C. P.SALA       CASA            ^
2025-10-01T07:35:02.680032,005544,999,L0,R0,1,"C537005E""SIA-DCS""6925L0#005544[#005544|Nri1UX16^C. P.SALA       CASA            ^]_07:35:22,10-01-2025",#005544|Nri1UX16^C. P.SALA       CASA            ^
2025-10-01T07:35:03.638541,005544,999,L0,R0,1,"C537005E""SIA-DCS""6925L0#005544[#005544|Nri1UX16^C. P.SALA       CASA            ^]_07:35:22,10-01-2025",#005544|Nri1UX16^C. P.SALA       CASA            ^
2025-10-01T07:38:11.617038,005544,999,L0,R0,1,"4D66005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_07:38:34,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T07:38:12.572901,005544,999,L0,R0,1,"4D66005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_07:38:34,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T07:38:13.533030,005544,999,L0,R0,1,"4D66005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_07:38:34,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T07:38:14.492985,005544,999,L0,R0,1,"4D66005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_07:38:34,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T07:38:18.721468,005544,999,L0,R0,1,"9E8B005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_07:38:39,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T07:38:19.678293,005544,999,L0,R0,1,"9E8B005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_07:38:39,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T07:38:20.637735,005544,999,L0,R0,1,"9E8B005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_07:38:39,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T07:38:21.598408,005544,999,L0,R0,1,"9E8B005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_07:38:39,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T07:54:13.332628,005544,999,L0,R0,1,"2D82005E""SIA-DCS""6925L0#005544[#005544|Nri1UX16^C. P.SALA       CASA            ^]_07:54:35,10-01-2025",#005544|Nri1UX16^C. P.SALA       CASA            ^
2025-10-01T07:54:14.290303,005544,999,L0,R0,1,"2D82005E""SIA-DCS""6925L0#005544[#005544|Nri1UX16^C. P.SALA       CASA            ^]_07:54:35,10-01-2025",#005544|Nri1UX16^C. P.SALA       CASA            ^
2025-10-01T07:54:15.250094,005544,999,L0,R0,1,"2D82005E""SIA-DCS""6925L0#005544[#005544|Nri1UX16^C. P.SALA       CASA            ^]_07:54:35,10-01-2025",#005544|Nri1UX16^C. P.SALA       CASA            ^
2025-10-01T07:54:16.210130,005544,999,L0,R0,1,"2D82005E""SIA-DCS""6925L0#005544[#005544|Nri1UX16^C. P.SALA       CASA            ^]_07:54:35,10-01-2025",#005544|Nri1UX16^C. P.SALA       CASA            ^
2025-10-01T08:04:14.529678,005544,999,L0,R0,1,"DE87005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:36,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:15.484528,005544,999,L0,R0,1,"DE87005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:36,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:16.445149,005544,999,L0,R0,1,"DE87005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:36,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:17.405600,005544,999,L0,R0,1,"DE87005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:36,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:21.652895,005544,999,L0,R0,1,"5E75005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:44,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:22.610810,005544,999,L0,R0,1,"5E75005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:44,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:23.570290,005544,999,L0,R0,1,"5E75005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:44,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:24.530408,005544,999,L0,R0,1,"5E75005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:44,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
